"Part";"Value";"Device";"Package";"Library";"Description";"AVAILABILITY";"CHECK_PRICES";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"SNAPEDA_LINK";"SPICEPREFIX";
"C1";"10uF";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C2";"10uF";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C3";"100nF";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C4";"100nF";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C5";"22n";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C6";"22u";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C7";"22u";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"C8";"10u/25V";"C-EUC0805";"C0805";"rcl";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"JUM1";"S1G6_JUMP";"S1G6_JUMP";"S1G6_JUM";"#PaJa_konektory";"Radove konektory - koliky - 6x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"K1";"ARK550/2";"ARK550/2";"ARK550/2";"#PaJa_konektory";"Svorkovnice - roztec 3,5mm - dvojita";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L1";"SRR1260-4R7Y";"SRR1260-4R7Y";"SRR12604R7Y";"SRR1260-4R7Y";"Inductor Power Shielded Wirewound 4.7uH 30% 100KHz 19Q-Factor Ferrite 6.8A 15.5mOhm DCR T/R";"";"";"Inductor Power Shielded Wirewound 4.7uH 30% 100KHz 19Q-Factor Ferrite 6.8A 15.5mOhm DCR T/R";"6.5mm";"Bourns";"SRR1260-4R7Y";"";"652-SRR1260-4R7Y";"https://www.mouser.co.uk/ProductDetail/Bourns/SRR1260-4R7Y?qs=meVWcSOgEr6HGQUyq2JiMQ%3D%3D";"";"";"";"";"";"";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"led";"LED";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";
"Q1";"PT15-21C/TR8";"PT15-21C/TR8";"PT15-21C/TR8";"myParts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"BC817-40LT1SMD";"BC817-40LT1SMD";"SOT23-BEC";"transistor-npn";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";
"Q3";"SS8050-G";"SS8050-G";"SOT95P240X115-3N";"SS8050-G";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"1.15mm";"Comchip Technology";"SS8050-G";"";"750-SS8050-G";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D";"";"";"";"";"";"";
"Q4";"SS8050-G";"SS8050-G";"SOT95P240X115-3N";"SS8050-G";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"";"";"Bipolar Transistors - BJT NPN TRANSISTOR 1.5A 40V";"1.15mm";"Comchip Technology";"SS8050-G";"";"750-SS8050-G";"https://www.mouser.co.uk/ProductDetail/Comchip-Technology/SS8050-G?qs=LLUE9lz1YbcHg%252BWLMAtcrQ%3D%3D";"";"";"";"";"";"";
"R1";"1K";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R2";"1.5k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R3";"2K";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R4";"1K";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R5";"2K";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R6";"1k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R7";"2k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R8";"1k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R9";"150";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R10";"10k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R11";"10k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R12";"10k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R13";"110k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R14";"15k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R15";"100k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R16";"10k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"R17";"10k";"R-EU_R0805";"R0805";"rcl";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"R";
"U$1";"HC-SR501";"HC-SR501";"HC-SR501";"Sensors_PIR_Lux";"PIR Module HC-SR501";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"MQ2";"MQ2";"MQ2";"myParts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"GY4466";"GY4466";"GY4466";"myParts";"mikrofon GY466";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"BUZZER";"BUZZER";"BUZZER";"myParts";"generický bzučák o průměru 12mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"HTU21D";"HTU21D";"HTU21D";"myParts";"htu21d";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"TS6604B";"TS6604B";"TS6604B";"myParts";"smd tlacitko";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"TS6604B";"TS6604B";"TS6604B";"myParts";"smd tlacitko";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"TS6604B";"TS6604B";"TS6604B";"myParts";"smd tlacitko";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"SD8942";"SD8942";"SD8942";"myParts";"step-down";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ESP32-WROOM-32";"ESP32-WROOM-32";"MODULE_ESP32-WROOM-32";"ESP32-WROOM-32";"Check availability";"Not in stock";"https://www.snapeda.com/parts/ESP32-WROOM-32/Espressif+Systems/view-part/?ref=eda";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount ";"";"";"";"Espressif Systems";"";"";"ESP32-WROOM-32";"Non Standard Espressif Systems";"";"None";"https://www.snapeda.com/parts/ESP32-WROOM-32/Espressif+Systems/view-part/?ref=snap";"";
"U2";"AMS1117-3.3";"AMS1117-3.3";"SOT229P700X180-4N";"AMS1117-3.3";"Check availability";"Not in stock";"https://www.snapeda.com/parts/AMS1117-3.3/Advanced+Monolithic+Systems/view-part/?ref=eda";" Sot223/Pkg 1-Amp 3.3-Volt Low Drop Out Voltage Regulatator ";"";"";"";"Advanced Monolithic Systems";"";"";"AMS1117-3.3";"SOT-223 Seeed Technology";"";"None";"https://www.snapeda.com/parts/AMS1117-3.3/Advanced+Monolithic+Systems/view-part/?ref=snap";"";
