created_at,entry_id,field3
2024-04-29 13:28:35 UTC,2721,1830.30005
2024-04-29 13:28:56 UTC,2722,1833.02502
2024-04-29 13:29:16 UTC,2723,1849.23999
2024-04-29 13:29:37 UTC,2724,1833.84497
2024-04-29 13:29:57 UTC,2725,1831.01501
2024-04-29 13:30:18 UTC,2726,1827.71497
2024-04-29 13:30:38 UTC,2727,1832.70496
2024-04-29 13:30:59 UTC,2728,1833.21997
2024-04-29 13:31:19 UTC,2729,1827.85498
2024-04-29 13:31:40 UTC,2730,1829.66003
2024-04-29 13:32:00 UTC,2731,1832.56494
2024-04-29 13:32:21 UTC,2732,1830.05505
2024-04-29 13:32:42 UTC,2733,1829.36499
2024-04-29 13:33:02 UTC,2734,1829.73999
2024-04-29 13:33:23 UTC,2735,1824.68005
2024-04-29 13:33:43 UTC,2736,1825.54004
2024-04-29 13:34:07 UTC,2737,1826.27002
2024-04-29 13:34:27 UTC,2738,1828.44995
2024-04-29 13:34:48 UTC,2739,1829.45496
2024-04-29 13:35:08 UTC,2740,1829.34497
2024-04-29 13:35:29 UTC,2741,1829.52502
2024-04-29 13:35:49 UTC,2742,1831.40503
2024-04-29 13:36:10 UTC,2743,1832.81006
2024-04-29 13:36:30 UTC,2744,1832.54004
2024-04-29 13:36:51 UTC,2745,1832.37500
2024-04-29 13:37:11 UTC,2746,1830.78503
2024-04-29 13:37:32 UTC,2747,1830.21497
2024-04-29 13:37:52 UTC,2748,1829.89001
2024-04-29 13:38:13 UTC,2749,1827.86499
2024-04-29 13:38:33 UTC,2750,1831.00000
2024-04-29 13:38:54 UTC,2751,1831.13501
2024-04-29 13:39:14 UTC,2752,1827.83997
2024-04-29 13:39:34 UTC,2753,1826.96997
2024-04-29 13:39:55 UTC,2754,1828.41003
2024-04-29 13:40:15 UTC,2755,1829.79004
2024-04-29 13:40:36 UTC,2756,1828.07495
2024-04-29 13:40:56 UTC,2757,1827.21497
2024-04-29 13:41:17 UTC,2758,1831.48999
2024-04-29 13:41:37 UTC,2759,1826.35999
2024-04-29 13:41:58 UTC,2760,1829.17505
2024-04-29 13:42:18 UTC,2761,1829.58496
2024-04-29 13:42:39 UTC,2762,1827.80005
2024-04-29 13:43:02 UTC,2763,1828.70496
2024-04-29 13:43:22 UTC,2764,1832.00500
2024-04-29 13:43:43 UTC,2765,1829.98499
2024-04-29 13:44:28 UTC,2766,1830.58496
2024-04-29 13:44:49 UTC,2767,1828.37000
2024-04-29 13:45:09 UTC,2768,1829.59998
2024-04-29 13:45:30 UTC,2769,1841.26501
2024-04-29 13:45:50 UTC,2770,1829.57996
2024-04-29 13:46:11 UTC,2771,1827.53503
2024-04-29 13:46:31 UTC,2772,1829.69495
2024-04-29 13:46:52 UTC,2773,1832.39502
2024-04-29 13:47:12 UTC,2774,1827.84497
2024-04-29 13:47:33 UTC,2775,1829.08496
2024-04-29 13:47:53 UTC,2776,1827.22998
2024-04-29 13:48:14 UTC,2777,1827.96497
2024-04-29 13:48:34 UTC,2778,1828.51001
2024-04-29 13:48:54 UTC,2779,1828.94495
2024-04-29 13:49:15 UTC,2780,1831.29004
2024-04-29 13:49:35 UTC,2781,1827.30005
2024-04-29 13:50:23 UTC,2782,1826.74500
2024-04-29 13:50:44 UTC,2783,1820.69995
2024-04-29 13:51:04 UTC,2784,1836.42505
2024-04-29 13:51:25 UTC,2785,1824.29004
2024-04-29 13:51:45 UTC,2786,1818.87500
2024-04-29 13:52:05 UTC,2787,1808.25000
2024-04-29 13:52:26 UTC,2788,1834.39001
2024-04-29 13:52:46 UTC,2789,1819.82495
2024-04-29 13:53:07 UTC,2790,1820.57996
2024-04-29 13:53:27 UTC,2791,1824.48499
2024-04-29 13:53:48 UTC,2792,1847.93005
2024-04-29 13:54:08 UTC,2793,1818.08496
2024-04-29 13:54:29 UTC,2794,1828.71997
2024-04-29 13:54:50 UTC,2795,1830.91504
2024-04-29 13:55:10 UTC,2796,1834.08496
2024-04-29 13:55:31 UTC,2797,1819.98499
2024-04-29 13:55:52 UTC,2798,1820.04004
2024-04-29 13:56:12 UTC,2799,1820.93005
2024-04-29 13:56:33 UTC,2800,1819.73499
2024-04-29 13:56:53 UTC,2801,1813.97498
2024-04-29 13:57:14 UTC,2802,1806.57495
2024-04-29 13:57:34 UTC,2803,1845.30005
2024-04-29 13:57:55 UTC,2804,1828.06494
2024-04-29 13:58:15 UTC,2805,1825.61499
2024-04-29 13:58:36 UTC,2806,1829.98999
2024-04-29 13:58:56 UTC,2807,1829.34497
2024-04-29 13:59:17 UTC,2808,1830.18994
2024-04-29 13:59:37 UTC,2809,1830.16003
2024-04-29 13:59:58 UTC,2810,1830.42505
2024-04-29 14:00:18 UTC,2811,1829.47498
2024-04-29 14:00:39 UTC,2812,1829.32996
2024-04-29 14:00:59 UTC,2813,1829.20496
2024-04-29 14:01:20 UTC,2814,1830.50000
2024-04-29 14:01:40 UTC,2815,1830.31006
2024-04-29 14:02:00 UTC,2816,1829.81006
2024-04-29 14:02:21 UTC,2817,1828.42004
2024-04-29 14:02:41 UTC,2818,1829.62000
2024-04-29 14:03:02 UTC,2819,1829.22998
2024-04-29 14:03:22 UTC,2820,1831.43506
